"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"2148","코스닥","105330","케이엔더블유","일반전기전자",6520,40,36911982440
"2149","코스닥","045390","대아티아이","일반전기전자",6290,140,447543073380
"2150","코스닥","263810","상신전자","일반전기전자",2725,65,38816856550
"2151","코스닥","218410","RFHIC","일반전기전자",38300,200,913363846000
"2152","코스닥","263600","덕우전자","일반전기전자",7740,220,123300599400
"2153","코스닥","203450","유니온커뮤니티","일반전기전자",2525,45,37064492675
"2154","코스닥","189300","인텔리안테크","일반전기전자",20550,-450,154957316100
"2155","코스닥","234920","자이글","일반전기전자",3390,50,45869784900
"2156","코스닥","071460","위니아딤채","일반전기전자",2665,115,95852841175
"2157","코스닥","237750","피앤씨테크","일반전기전자",4530,30,29429598000
"2158","코스닥","036010","아비코전자","일반전기전자",4330,105,57558404220
"2159","코스닥","236200","슈프리마","일반전기전자",34500,550,248167918500
"2160","코스닥","214430","아이쓰리시스템","일반전기전자",20700,1000,147109932000
"2161","코스닥","105550","트루윈","일반전기전자",4450,-80,53271221450
"2162","코스닥","082850","우리바이오","일반전기전자",942,36,42312641076
"2163","코스닥","189860","서전기전","일반전기전자",3250,20,31521035000
"2164","코스닥","177830","파버나인","일반전기전자",4005,65,45084517290
"2165","코스닥","010170","대한광통신","일반전기전자",3310,20,244084778750
"2166","코스닥","119850","지엔씨에너지","일반전기전자",4090,235,66649936520
"2167","코스닥","044340","위닉스","일반전기전자",18400,150,328871020000
"2168","코스닥","131390","피앤이솔루션","일반전기전자",12500,300,181536875000
"2169","코스닥","111870","삼본전자","일반전기전자",1610,20,104467532260
"2170","코스닥","045890","GV","일반전기전자",1790,135,81282851060
"2171","코스닥","066130","하츠","일반전기전자",5410,210,6.9248e+10
"2172","코스닥","065350","신성델타테크","일반전기전자",2690,10,65036401690
"2173","코스닥","042110","에스씨디","일반전기전자",986,17,47652950104
"2174","코스닥","037070","파세코","일반전기전자",10200,880,1.428e+11
"2175","코스닥","069510","에스텍","일반전기전자",8870,30,96771700000
"2176","코스닥","065710","서호전기","일반전기전자",19300,350,9.9395e+10
"2177","코스닥","018290","브이티지엠피","일반전기전자",10800,50,362875420800
"2178","코스닥","054220","비츠로시스","일반전기전자",485,0,25363340295
"2179","코스닥","053160","프리엠스","일반전기전자",5980,-60,3.588e+10
"2180","코스닥","048430","유라테크","일반전기전자",5850,110,6.7392e+10
"2181","코스닥","037400","우리조명","일반전기전자",920,3,22929478320
"2182","코스닥","032820","우리기술","일반전기전자",830,-1,83638435170
"2183","코스닥","032750","삼진","일반전기전자",8300,-10,4.98e+10
"2184","코스닥","032540","TJ미디어","일반전기전자",2800,60,39008505200
"2185","코스닥","025440","대성엘텍","일반전기전자",911,11,90791483473
"2186","코스닥","017250","인터엠","일반전기전자",1830,25,38513204610
"2187","코스닥","253590","네오셈","의료·정밀기기",1405,-15,52738625140
"2188","코스닥","302550","리메드","의료·정밀기기",24650,1050,146954573900
"2189","코스닥","228670","레이","의료·정밀기기",34600,-550,230203038200
"2190","코스닥","305090","마이크로디지탈","의료·정밀기기",19100,-50,69348280000
"2191","코스닥","253840","수젠텍","의료·정밀기기",23050,1150,306840078700
"2192","코스닥","179290","엠아이텍","의료·정밀기기",3365,5,102375272670
